reference,currency,value_day,amount
seed-001,AED,1,1000.00
seed-002,AED,1,1000.00
seed-003,AED,1,1000.00
seed-004,AED,1,1000.00
seed-005,AED,1,1000.00
seed-006,AED,1,1000.00
seed-007,AED,1,1000.00
seed-008,AED,1,1000.00
seed-009,AED,1,1000.00
seed-010,AED,1,1000.00
seed-011,AED,1,1000.00
seed-012,AED,1,1000.00
seed-013,AED,1,1000.00
seed-014,AED,1,1000.00
seed-015,AED,1,1000.00
seed-016,AED,1,1000.00
seed-017,AED,1,1000.00
seed-018,AED,1,1000.00
seed-019,AED,1,1000.00
seed-020,AED,1,1000.00
seed-021,BHD,1,1000.000
seed-022,BHD,1,1000.000
seed-023,BHD,1,1000.000
seed-024,BHD,1,1000.000
seed-025,BHD,1,1000.000
seed-026,BHD,1,1000.000
seed-027,BHD,1,1000.000
seed-028,BHD,1,1000.000
seed-029,BHD,1,1000.000
seed-030,BHD,1,1000.000
seed-031,BHD,1,1000.000
seed-032,BHD,1,1000.000
seed-033,BHD,1,1000.000
seed-034,BHD,1,1000.000
seed-035,BHD,1,1000.000
seed-036,BHD,1,1000.000
seed-037,BHD,1,1000.000
seed-038,BHD,1,1000.000
seed-039,BHD,1,1000.000
seed-040,BHD,1,1000.000
